City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
279,gogapur,IN,2024-05-09,23.55,75.5167,1,40,89.33000000000004,6.26
280,mitu,CO,2024-05-09,1.1983,-70.1733,100,99,74.24600000000005,0.68
281,tralee,IE,2024-05-09,52.2704,-9.7026,97,88,49.477999999999966,2.31
282,al mijlad,SD,2024-05-09,11.0333,27.7333,100,9,78.08000000000004,5.47
283,ambon,ID,2024-05-09,-3.6954,128.1814,40,70,88.21400000000003,4.12
284,acajutla,SV,2024-05-09,13.5928,-89.8275,88,73,84.50600000000003,2.4
285,vilyuchinsk,RU,2024-05-09,52.9306,158.4028,18,65,48.74000000000002,4.42
286,taulaga,AS,2024-05-09,-11.0553,-171.0883,99,73,85.06400000000004,3.65
287,aras-asan,PH,2024-05-09,8.8908,126.3033,25,67,85.226,3.07
288,bellary,IN,2024-05-09,15.15,76.9333,10,48,88.64600000000004,2.92
289,carauari,BR,2024-05-09,-4.8828,-66.8958,92,91,76.45999999999998,0.65
290,shangri-la,,,,,,,,
291,severnoye,RU,2024-05-09,56.3491,78.3619,70,40,63.248000000000026,7.15
292,kone,NC,2024-05-09,-21.0595,164.8658,61,42,80.34800000000003,4.25
293,wanning,CN,2024-05-09,18.8003,110.3967,13,65,86.50399999999996,3.34
294,linhares,BR,2024-05-09,-19.3911,-40.0722,0,95,73.23800000000006,0.72
295,minas de marcona,PE,2024-05-09,-15.2119,-75.1103,70,87,55.77799999999996,6.1
296,punta arenas,CL,2024-05-09,-53.15,-70.9167,20,93,30.577999999999964,3.09
297,callao,PE,2024-05-09,-12.0667,-77.15,75,82,68.99000000000002,4.12
298,mirny,RU,2024-05-09,62.5353,113.9611,100,59,31.49600000000005,3.58
299,belle fourche,US,2024-05-09,44.6714,-103.8522,100,78,55.36400000000003,2.37
300,burang,CN,2024-05-09,30.25,81.1667,2,34,44.20399999999995,1.03
301,da nang,VN,2024-05-09,16.0678,108.2208,0,62,88.05199999999998,2.06
302,camana,PE,2024-05-09,-16.6228,-72.7111,100,86,65.30000000000001,3.08
303,kapoeta,SS,2024-05-09,4.7717,33.5903,99,58,80.6,7.87
304,puerto cabezas,NI,2024-05-09,14.0351,-83.3888,93,76,82.41799999999998,4.01
305,devinuwara,,,,,,,,
306,ouadda,CF,2024-05-09,8.0777,22.4007,79,76,68.558,1.3
307,pizarro,CO,2024-05-09,4.9533,-77.366,100,88,78.08000000000004,1.7
308,vila franca do campo,PT,2024-05-09,37.7167,-25.4333,14,88,59.684,1.67
309,utrik,MH,2024-05-09,11.2278,169.8474,79,82,81.392,8.88
310,uturoa,PF,2024-05-09,-16.7333,-151.4333,18,69,82.70600000000003,3.94
311,yemetsk,RU,2024-05-09,63.4721,41.7941,100,91,28.4,4.28
312,port saint john's,ZA,2024-05-09,-31.6229,29.5448,5,55,69.61999999999996,2.23
313,segezha,RU,2024-05-09,63.7415,34.3222,9,82,26.761999999999954,4.47
314,rongelap,MH,2024-05-09,11.1635,166.8941,51,80,81.5,8.49
315,plastun,RU,2024-05-09,44.7561,136.2939,100,29,61.46600000000001,2.43
316,kodiak,US,2024-05-09,57.79,-152.4072,40,75,40.78399999999999,3.6
317,champerico,GT,2024-05-09,14.3,-91.9167,75,69,85.334,2.97
318,rumuruti,KE,2024-05-09,0.267,36.5389,85,90,58.17200000000004,2.54
319,charters towers,AU,2024-05-09,-20.1,146.2667,100,59,76.24399999999997,6.54
320,siocon,PH,2024-05-09,7.7061,122.1353,31,65,88.25,2.72
321,diego de almagro,CL,2024-05-09,-26.3667,-70.05,100,65,56.04800000000003,1.55
322,ulsteinvik,NO,2024-05-09,62.3432,5.8487,88,83,43.016000000000005,1.79
323,kapenguria,KE,2024-05-09,1.2511,35.0895,98,91,57.55999999999998,1.04
324,turgen,KZ,2024-05-09,43.4006,77.5933,0,51,62.99600000000005,1.78
